j_count,k_count,var_inter,i_count,var_error,reps,d1,v1,d2,v2,delta
2,10,0,2,0.5,10000,0.34672293598261233,0.012720099758093024,0.39951918060781894,0.006329113924050633,0.39951918060781894
2,10,0.1,2,0.5,10000,0.3435350229205462,0.11300809520710133,0.40267126836034894,0.006329113924050633,0.40267126836034894
2,10,0.3,2,0.5,10000,0.32907683695546736,0.31547694315792796,0.39988394589862014,0.006329113924050633,0.39988394589862014
2,50,0,2,0.5,10000,0.34577542812728784,0.002535303216971733,0.3991003992158456,0.0012531328320802004,0.3991003992158456
2,50,0.1,2,0.5,10000,0.33824790155829954,0.10268065888138142,0.39709761145627476,0.0012531328320802004,0.39709761145627476
2,50,0.3,2,0.5,10000,0.3290327402161305,0.3046095712174528,0.40035584871609875,0.0012531328320802004,0.40035584871609875
2,100,0,2,0.5,10000,0.3480546453571196,0.0012673475151909965,0.4018150788741568,6.257822277847309e-4,0.4018150788741568
2,100,0.1,2,0.5,10000,0.3323178526536408,0.10139104892426723,0.39021174977338463,6.257822277847309e-4,0.39021174977338463
2,100,0.3,2,0.5,10000,0.32056240915908224,0.3032056223307879,0.390112852364838,6.257822277847309e-4,0.390112852364838
4,10,0,2,0.5,10000,0.37496373302848224,0.0031662915566182843,0.40058409298360215,0.001567398119122257,0.40058409298360215
4,10,0.1,2,0.5,10000,0.36941605858903404,0.053255515425786555,0.4034123771520733,0.001567398119122257,0.4034123771520733
4,10,0.3,2,0.5,10000,0.34567003253018436,0.15417237741035586,0.3956467378396287,0.001567398119122257,0.3956467378396287
4,50,0,2,0.5,10000,0.37290406346170224,6.323145118794964e-4,0.3985977990192119,3.1269543464665416e-4,0.3985977990192119
4,50,0.1,2,0.5,10000,0.3656448341414175,0.050697598929512665,0.39949588934891933,3.1269543464665416e-4,0.39949588934891933
4,50,0.3,2,0.5,10000,0.353473243375492,0.15152889760143226,0.40475281177180256,3.1269543464665416e-4,0.40475281177180256
4,100,0,2,0.5,10000,0.3743827220593157,3.1613167989403776e-4,0.4002051580603154,1.5629884338855892e-4,0.4002051580603154
4,100,0.1,2,0.5,10000,0.3653099195225968,0.05037753417016298,0.39915512005105697,1.5629884338855892e-4,0.39915512005105697
4,100,0.3,2,0.5,10000,0.34963615351780825,0.15118298444248432,0.4003806152205009,1.5629884338855892e-4,0.4003806152205009
10,10,0,2,0.5,10000,0.3889959785284324,5.055610840114036e-4,0.3990541757633199,2.501250625312656e-4,0.3990541757633199
10,10,0.1,2,0.5,10000,0.38099407205799535,0.020531497450797846,0.40044725575813794,2.501250625312656e-4,0.40044725575813794
10,10,0.3,2,0.5,10000,0.36105858366705723,0.060799436258430345,0.39990505038956914,2.501250625312656e-4,0.39990505038956914
10,50,0,2,0.5,10000,0.3903125247749928,1.0106782800525628e-4,0.40044271596107495,5.000500050005001e-5,0.40044271596107495
10,50,0.1,2,0.5,10000,0.38126101065518414,0.020124242791599734,0.4007637085436089,5.000500050005001e-5,0.4007637085436089
10,50,0.3,2,0.5,10000,0.3630679472553769,0.06038176834367631,0.4021617035710025,5.000500050005001e-5,0.4021617035710025
10,100,0,2,0.5,10000,0.38961103839457834,5.052885501092217e-5,0.39972775729941434,2.5001250062503124e-5,0.39972775729941434
10,100,0.1,2,0.5,10000,0.37706691121685615,0.020072883375727397,0.39635950264952974,2.5001250062503124e-5,0.39635950264952974
10,100,0.3,2,0.5,10000,0.36214041560209287,0.060327270257411504,0.40113817536524876,2.5001250062503124e-5,0.40113817536524876
